,tract,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
748,06037221500,29536.0,1095.0,3864.0,2607.0,1257.0,1157.0,156.0,748.0,6.0,214.0
749,06037221601,46645.0,969.0,3175.0,2455.0,720.0,650.0,197.0,271.0,2.0,157.0
750,06037221602,41125.0,923.0,2693.0,2256.0,437.0,408.0,108.0,103.0,14.0,178.0
751,06037221710,43938.0,965.0,2596.0,1817.0,779.0,732.0,231.0,149.0,3.0,335.0
752,06037221810,26694.0,904.0,2746.0,1453.0,1293.0,1207.0,359.0,206.0,7.0,628.0
753,06037221820,13630.0,957.0,2797.0,499.0,2298.0,2205.0,848.0,292.0,3.0,1044.0
754,06037221900,17768.0,902.0,4917.0,1192.0,3725.0,3586.0,1434.0,571.0,9.0,1538.0
755,06037222001,79082.0,946.0,3218.0,1915.0,1303.0,1176.0,323.0,657.0,2.0,149.0
756,06037222002,51084.0,1406.0,4648.0,3251.0,1397.0,1272.0,161.0,991.0,6.0,81.0
757,06037222100,61563.0,1205.0,3712.0,2443.0,1269.0,1157.0,187.0,712.0,3.0,221.0
758,06037222200,47955.0,1264.0,3878.0,2504.0,1374.0,1248.0,301.0,719.0,3.0,203.0
759,06037222500,57969.0,1229.0,4702.0,3303.0,1399.0,1294.0,224.0,835.0,18.0,183.0
760,06037222600,34493.0,1669.0,5141.0,2504.0,2637.0,2483.0,464.0,860.0,3.0,1113.0
761,06037222700,,108.0,4704.0,784.0,3920.0,3822.0,1714.0,627.0,19.0,1442.0
762,06037224010,36604.0,1558.0,3621.0,1783.0,1838.0,1728.0,590.0,691.0,17.0,375.0
763,06037224020,32713.0,895.0,3231.0,2124.0,1107.0,1040.0,410.0,370.0,6.0,220.0
764,06037224200,36071.0,796.0,2385.0,2101.0,284.0,258.0,86.0,97.0,1.0,71.0
765,06037224310,42417.0,611.0,2090.0,1667.0,423.0,399.0,167.0,95.0,1.0,127.0
766,06037224320,16471.0,1155.0,2962.0,2619.0,343.0,308.0,63.0,157.0,11.0,66.0
767,06037224410,29894.0,1140.0,2906.0,1715.0,1191.0,1136.0,440.0,201.0,10.0,467.0
768,06037224420,23210.0,883.0,2068.0,1597.0,471.0,441.0,155.0,162.0,5.0,109.0
769,06037224600,46607.0,790.0,3501.0,2778.0,723.0,675.0,200.0,360.0,11.0,91.0
770,06037224701,32500.0,264.0,2077.0,481.0,1596.0,1516.0,509.0,144.0,16.0,817.0
