COMM_CURRENT,OBJECTID,BG20,CB20,CTCB20,FIP20,BGFIP20,ZCTA20,HD22,SPA22,SUP21,POP20,HOUSING20,FIP_CURRENT,BG20FIP_CURRENT,ShapeSTArea,ShapeSTLength,med_hh_income,med_hh_income_universe,ESRI_OID,Shape__Area,Shape__Length,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
View Heights,53134.354166666664,2351003.1041666665,3111.8125,2351003111.8125,44000.0,235100354416.66666,90043.27083333333,75.0,6.0,2.0,72.08333333333333,28.708333333333332,44000.0,235100354416.66666,199841.0063611579,1947.86765300987,86700.0,1747.0,3314.0,12641574.4384766,17923.8164136641,4690.0,1001.0,3689.0,3396.0,489.0,2721.0,5.0,135.0
Toluca Lake,36876.96590909091,1543375.9431818181,1631.4772727272727,1543375949.659091,44000.0,154337638318.18182,91602.04545454546,19.0,2.0,5.0,100.54545454545455,54.81818181818182,44000.0,154337638318.18182,324895.89938058663,2462.883384230273,85063.02325581395,1352.1931818181818,3991.4204545454545,9432110.264981357,13248.25590650545,2612.693181818182,430.4886363636364,2182.2045454545455,2041.1136363636363,1691.6477272727273,143.375,4.125,183.0340909090909
Sylmar,41170.73156899811,1067742.4631379962,1790.0283553875236,1067742470.5576559,44000.0,106774290313.79962,91341.76181474481,62.0,2.0,3.0,154.83931947069942,41.99810964083176,44000.0,106774290313.79962,624029.1033219624,3451.23386660907,84634.43100189036,1275.9470699432893,2924.862003780718,23948631.797360532,23701.233576703657,4984.470699432893,3818.998109640832,1165.4725897920605,1095.7410207939508,634.7164461247637,131.86389413988658,11.323251417769375,290.71455576559543
Del Rey,54421.89090909091,2752924.35,1947.0363636363636,2752924356.1272726,44000.0,275292479000.0,90146.66363636364,84.0,5.0,2.0,133.00454545454545,62.57727272727273,44000.0,275292479000.0,296625.7674662223,2540.106967020104,84599.34545454546,1735.290909090909,4149.613636363636,8788732.633749105,13336.132762875173,3950.681818181818,1434.1909090909091,2516.490909090909,2310.3045454545454,1539.1136363636363,180.75454545454545,6.131818181818182,546.209090909091
Lakeview Terrace,43980.663265306124,2196333.6326530613,1498.3469387755101,2196333641.2040815,44000.0,219633407265.30612,91322.83673469388,19.06122448979592,2.010204081632653,5.0,130.5612244897959,37.3469387755102,44000.0,219633407265.30612,1699394.095962143,5356.5986698845045,84517.05813953489,843.7755102040817,3026.8571428571427,202081456.23757336,41535.83771251712,3173.9897959183672,1930.4285714285713,1243.561224489796,1176.2857142857142,685.765306122449,267.2040816326531,2.0306122448979593,190.57142857142858
Mt. Washington,38711.20100502513,1882513.8442211056,1689.5075376884422,1882513850.3115578,44000.0,188251428422.11057,90056.25125628141,47.0,4.0,1.0,107.15577889447236,39.50251256281407,44000.0,188251428422.11057,330680.5958202838,2970.9037879976695,84444.24623115578,1222.4170854271356,4513.688442211055,9728460.877252473,16686.306638705024,3269.190954773869,1986.9597989949748,1282.2311557788944,1170.1356783919598,733.1105527638191,57.38693467336683,6.080402010050252,357.96984924623115
Northridge,37995.44396551724,1161637.7370689656,1924.4418103448277,1161637743.4073277,44000.0,116163817706.89655,91326.2198275862,83.72413793103448,2.0,3.0,147.13362068965517,53.17672413793103,44000.0,116163817706.89655,576869.8787586424,3360.539481946177,84149.25607064017,1527.7262931034484,3265.1530172413795,19194189.980729733,19453.37434479249,4317.836206896552,1518.8512931034484,2798.9849137931033,2640.637931034483,1622.907327586207,232.62284482758622,5.349137931034483,739.3060344827586
Hollywood,45257.07344632768,1911694.3446327683,1693.322033898305,1911694348.6892655,44000.0,191169478463.27682,90038.56214689265,34.0,4.0,2.9887005649717513,184.9406779661017,112.60169491525424,44000.0,191169478463.27682,349997.025724513,2631.1712536819846,83914.68926553673,1485.4943502824858,4609.169491525424,8450705.824102892,12148.826498673543,3078.536723163842,893.6497175141243,2184.8870056497176,2037.0169491525423,1570.2796610169491,195.01694915254237,5.641242937853107,229.3502824858757
Echo Park,38644.044642857145,1974038.5714285714,1970.7857142857142,1974038577.9285715,44000.0,197403901142.85715,90027.85714285714,9.0,4.0,1.0,118.49107142857143,55.339285714285715,44000.0,197403901142.85715,247820.17952080021,2270.5570644105906,83616.82142857143,1699.580357142857,4743.410714285715,9339249.975777749,14036.961412104085,3641.875,1513.4464285714287,2128.4285714285716,1968.8660714285713,1474.375,80.64285714285714,9.089285714285714,376.0625
Valley Village,39404.514851485146,1277323.3564356435,1927.2673267326732,1277323362.910891,44000.0,127732379643.56436,91605.13861386139,19.0,2.0,5.0,123.12376237623762,60.504950495049506,44000.0,127732379643.56436,282316.3344065685,2373.789203787003,82799.4900990099,1681.7673267326732,3709.2871287128714,9542465.162573487,13055.863705999647,3659.7128712871286,752.2970297029703,2907.4158415841584,2707.3960396039606,2228.4455445544554,202.47029702970298,6.202970297029703,238.01980198019803
Glassell Park,42714.706422018346,1862554.5825688073,1927.6743119266055,1862554588.2247705,44000.0,186255502256.88074,90062.1880733945,47.0,4.0,1.0,129.11009174311926,48.54128440366973,44000.0,186255502256.88074,388874.04899769457,2972.805657543575,82327.9495412844,1331.394495412844,4455.5,10910808.335785199,15842.881752195679,3593.233944954128,1665.7477064220184,1927.48623853211,1793.7293577981652,948.0091743119266,60.65596330275229,6.495412844036697,753.5137614678899
Park La Brea,47992.775,2145027.15,1902.05,2145027152.05,44000.0,214502759000.0,90036.0,34.0,4.0,2.0,307.175,160.25,44000.0,214502759000.0,333213.8563779682,2260.857912865279,81743.875,1403.825,2778.95,4594105.342114259,9729.862696232072,3166.075,354.6,2811.475,2638.85,1475.325,184.625,5.225,943.025
Atwater Village,41295.985185185185,1884388.0,1860.0,1884388008.148148,44000.0,188438844000.0,90040.34814814814,9.133333333333333,3.9851851851851854,1.0,106.92592592592592,45.666666666666664,44000.0,188438844000.0,480253.8613547129,3006.434514328395,79624.04444444444,1528.0740740740741,4464.074074074074,16090836.43161892,22658.3123985311,3617.385185185185,1544.8,2072.5851851851853,1944.037037037037,1177.0962962962963,57.096296296296295,7.274074074074074,683.5703703703704
Melrose,43541.440154440155,1948452.5231660232,1853.0579150579151,1948452528.7335908,44000.0,194845296316.60233,90031.97876447876,34.0,4.0,3.0,137.3127413127413,66.2876447876448,44000.0,194845296316.60233,241229.27320832945,2069.2926504556176,79523.46911196911,1459.523166023166,4469.1138996139,6474992.102450458,11036.163322130707,3177.5752895752894,929.7857142857143,2247.789575289575,2117.0675675675675,1564.2065637065637,120.6988416988417,4.281853281853282,392.57142857142856
San Pedro,51982.99330655957,3477531.499330656,1828.6024096385543,3477531507.317269,44000.0,347753193933.0656,90727.08807588076,31.0,8.0,4.0,100.82195448460509,40.73761713520749,44000.0,347753193933.0656,710339.7386090866,3195.6743421780316,78401.20375722543,1301.5220883534137,4359.214190093709,28994574.045576807,18908.17186381108,3384.4350736278448,1613.372155287818,1771.0629183400267,1634.3038821954485,1136.5220883534137,236.12449799196787,12.839357429718875,208.63721552878178
Angelino Heights,57960.25,1976001.35,1354.95,1976001354.95,44000.0,197600179000.0,90020.4,9.0,4.0,1.0,121.55,56.4,44000.0,197600179000.0,208979.60921797736,2244.0833807343915,77308.0,850.0,4746.0,4213783.37890625,10380.064741681,2431.0,1127.0,1304.0,1219.0,800.0,58.0,5.0,344.0
Lake Balboa,43948.05818181818,1306778.8436363637,2085.3927272727274,1306778849.029091,44000.0,130677928363.63637,91404.52727272727,86.0,2.0,3.0,143.6909090909091,50.52,44000.0,130677928363.63637,386300.7935873225,2845.3962673325623,76643.01454545454,1424.9054545454546,3863.9636363636364,13439177.66200993,16364.207686610449,4069.501818181818,2096.243636363636,1973.2581818181818,1840.1163636363635,1281.4836363636364,163.6290909090909,3.9745454545454546,359.2836363636364
Winnetka,39064.65993265993,1280965.7306397306,1594.7441077441079,1280965736.1582491,44000.0,128096617063.97307,91306.97306397307,86.0,2.0,3.0,166.44107744107745,52.47811447811448,44000.0,128096617063.97307,470399.8676841697,3289.9281761172524,76119.49158249158,1207.4478114478115,3736.107744107744,11346777.10211819,14542.351390309068,3838.343434343434,1907.9562289562289,1930.3872053872053,1812.8383838383838,937.2020202020202,159.76094276094275,6.579124579124579,681.6026936026936
